lat,long,altitude,labels,datetime,velocity,acceleration
39.933276,116.474544,609,taxi,2009-09-05 02:04:34,0.6550174809964082,-0.03234165846375332
39.933246999999994,116.474551,608,taxi,2009-09-05 02:04:39,0.4933091886776416,0.03427166432669937
39.933225,116.474547,608,taxi,2009-09-05 02:04:44,0.6646675103111385,0.6251067748020148
39.933242,116.474579,608,taxi,2009-09-05 02:04:49,3.7902013843212123,0.6844196540086087
39.933240000000005,116.47471200000001,608,taxi,2009-09-05 02:04:52,5.8434603463470385,0.9111518108183403
39.933277000000004,116.47483999999999,608,taxi,2009-09-05 02:04:54,7.665763967983719,0.8083084473765125
39.933294000000004,116.47501799999999,609,taxi,2009-09-05 02:04:56,9.282380862736744,0.3539383699392715
39.933301,116.47523500000001,610,taxi,2009-09-05 02:04:58,9.990257602615287,0.5619763075456632
39.933323,116.475467,611,taxi,2009-09-05 02:05:00,11.114210217706614,0.8090224591617119
39.933321,116.475597,611,taxi,2009-09-05 02:05:01,11.923232676868325,0.4788649021015434
39.93333,116.47573600000001,612,taxi,2009-09-05 02:05:02,12.402097578969869,1.2050392497718079
39.933334,116.475881,612,taxi,2009-09-05 02:05:03,13.607136828741677,0.8452771709108866
39.933328,116.47604,612,taxi,2009-09-05 02:05:04,14.452413999652563,0.8966153295607899
39.933324,116.47620900000001,613,taxi,2009-09-05 02:05:05,15.349029329213353,-1.4092230823390857
39.933313,116.47638799999999,613,taxi,2009-09-05 02:05:06,13.939806246874268,69.30010905917977
39.933316999999995,116.476551,613,taxi,2009-09-05 02:05:07,83.23991530605404,-35.794474380279006
39.93237,116.47806100000001,144,taxi,2009-09-05 02:05:09,11.650966545496034,-0.3542167894677064
39.932377,116.478197,143,taxi,2009-09-05 02:05:10,11.296749756028328,-0.5059343672361294
39.932382000000004,116.478329,144,taxi,2009-09-05 02:05:11,10.790815388792199,-0.7843415953324122
39.932388,116.47845500000001,145,taxi,2009-09-05 02:05:12,10.006473793459786,0.6299547916158659
39.932390999999996,116.478572,146,taxi,2009-09-05 02:05:13,10.636428585075652,0.9164485976600822
39.932399,116.478696,146,taxi,2009-09-05 02:05:14,11.552877182735735,0.6785424979909251
39.932404,116.478831,151,taxi,2009-09-05 02:05:15,12.23141968072666,0.5052854104201021
39.932408,116.478974,155,taxi,2009-09-05 02:05:16,12.736705091146762,0.09700690378775789
39.932409,116.479123,159,taxi,2009-09-05 02:05:17,12.83371199493452,-0.3534320316335986
39.932414,116.47927299999999,166,taxi,2009-09-05 02:05:18,12.480279963300921,1.1415828596822202
39.932415,116.479419,172,taxi,2009-09-05 02:05:19,13.621862822983141,0.895847467337866
39.932431,116.479577,178,taxi,2009-09-05 02:05:20,14.517710290321007,0.06566106887926004
39.932444,116.47974599999999,185,taxi,2009-09-05 02:05:21,14.583371359200267,0.9775187556867238
39.932462,116.47991499999999,191,taxi,2009-09-05 02:05:22,15.560890114886991,-0.8081642622246648
39.932477,116.480096,197,taxi,2009-09-05 02:05:23,14.752725852662326,-0.04142727801587576
39.932495,116.480267,202,taxi,2009-09-05 02:05:24,14.71129857464645,1.0181969544867275
39.93251,116.48043799999999,207,taxi,2009-09-05 02:05:25,15.729495529133178,-0.3418761960169192
39.932508,116.480622,214,taxi,2009-09-05 02:05:26,15.387619333116259,3.4016441208330868
39.932506,116.480802,216,taxi,2009-09-05 02:05:27,18.789263453949346,-2.2323274578586982
39.932456,116.481012,208,taxi,2009-09-05 02:05:28,16.556935996090647,-0.7145303913839811
39.932427000000004,116.481202,203,taxi,2009-09-05 02:05:29,15.842405604706666,-0.6338439877797803
39.932393,116.48138200000001,198,taxi,2009-09-05 02:05:30,15.208561616926886,-1.1909673708748816
39.932361,116.481555,192,taxi,2009-09-05 02:05:31,14.017594246052004,-2.7847885167695647
39.932337,116.48171599999999,189,taxi,2009-09-05 02:05:32,11.23280572928244,-1.8287403525478112
39.932328999999996,116.481847,188,taxi,2009-09-05 02:05:33,9.404065376734629,-0.8126802054010085
39.932326,116.48206699999999,187,taxi,2009-09-05 02:05:35,7.7787049659326115,-0.8634900905333276
39.932325,116.482249,188,taxi,2009-09-05 02:05:37,6.051724784865956,-1.1079026468487745
39.932315,116.48239,188,taxi,2009-09-05 02:05:39,3.8359194911684074,-0.5261046123844166
39.932305,116.482524,189,taxi,2009-09-05 02:05:42,2.2576056540151574,-0.1983499977605155
39.932302,116.482656,187,taxi,2009-09-05 02:05:47,1.2658556652125799,-0.17977983219091928
39.9323,116.48273,187,taxi,2009-09-05 02:05:52,0.36695650425798343,-0.07339130085159669
39.932294,116.48275,186,taxi,2009-09-05 02:05:57,0.0,0.0
39.932294,116.48275,186,taxi,2009-09-05 02:06:00,0.0,0.10868593464285312
39.932294,116.48275,187,taxi,2009-09-05 02:06:02,0.21737186928570623,-0.020238675232817575
39.932303000000005,116.482745,186,taxi,2009-09-05 02:06:07,0.11617849312161835,0.004789225388273954
